sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,492,5,126,0,85,0,658,0,145,0,85,0,0,0,0,0,1864,539,558,2718,578,558
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,449,5,142,0,85,0,686,0,124,0,83,0,0,0,0,0,1907,523,558,2690,599,560
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,495,5,137,0,78,0,686,0,145,0,80,0,1,0,0,0,1861,528,565,2690,578,563
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,445,5,127,0,80,0,709,0,145,0,86,0,0,0,0,0,1911,538,563,2667,578,557
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,446,5,128,0,92,0,692,0,141,0,66,0,1,0,0,0,1910,537,551,2684,582,577
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,482,5,115,0,82,0,665,0,166,0,97,0,1,0,0,0,1874,550,561,2711,557,546
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,478,5,140,0,77,0,672,0,148,0,80,0,0,0,0,0,1878,525,566,2704,575,563
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,440,5,152,0,85,0,635,0,134,0,100,0,0,0,0,0,1916,513,558,2741,589,543
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,475,5,146,0,87,0,679,0,139,0,80,0,0,0,0,0,1881,519,556,2697,584,563
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,494,5,122,0,76,0,651,0,134,0,81,0,0,0,0,0,1862,543,567,2725,589,562
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,496,5,129,0,69,0,666,0,148,0,77,0,0,0,0,0,1860,536,574,2710,575,566
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,492,5,128,0,67,0,697,0,149,0,82,0,1,0,0,0,1864,537,576,2679,574,561
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,472,5,131,0,101,0,702,0,137,0,97,0,0,0,0,0,1884,534,542,2674,586,546
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,453,5,149,0,94,0,650,0,133,0,58,0,1,0,0,0,1903,516,549,2726,590,585
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,469,5,144,0,92,0,684,0,146,0,88,0,0,0,0,0,1887,521,551,2692,577,555
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,479,5,122,0,92,0,610,0,136,0,78,0,1,0,0,0,1877,543,551,2766,587,565
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,458,5,145,0,76,0,680,0,154,0,92,0,0,0,0,0,1898,520,567,2696,569,551
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,488,5,131,0,81,0,648,0,156,0,83,0,0,0,0,0,1868,534,562,2728,567,560
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,483,5,132,0,90,0,665,0,144,0,76,0,0,0,0,0,1873,533,553,2711,579,567
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,482,5,140,0,83,0,702,0,152,0,72,0,0,0,0,0,1874,525,560,2674,571,571
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,472,5,128,0,78,0,665,0,160,0,77,0,1,0,0,0,1884,537,565,2711,563,566
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,466,5,134,0,86,0,653,0,162,0,78,0,0,0,0,0,1890,531,557,2723,561,565
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,469,5,137,0,95,0,661,0,123,0,69,0,0,0,0,0,1887,528,548,2715,600,574
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,465,5,129,0,86,0,703,0,155,0,73,0,1,0,0,0,1891,536,557,2673,568,570
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,453,5,145,0,86,0,694,0,139,0,81,0,0,0,0,0,1903,520,557,2682,584,562
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,503,5,127,0,82,0,708,0,156,0,88,0,0,0,0,0,1853,538,561,2668,567,555
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,457,5,123,0,82,0,652,0,133,0,67,0,1,0,0,0,1899,542,561,2724,590,576
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,483,5,120,0,96,0,676,0,140,0,69,0,0,0,0,0,1873,545,547,2700,583,574
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,464,5,123,0,87,0,678,0,134,0,63,0,1,0,0,0,1892,542,556,2698,589,580
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,450,5,140,0,98,0,677,0,152,0,74,0,0,0,0,0,1906,525,545,2699,571,569
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,459,5,149,0,90,0,676,0,147,0,78,0,0,0,0,0,1897,516,553,2700,576,565
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,453,5,131,0,75,0,645,0,152,0,87,0,0,0,0,0,1903,534,568,2731,571,556
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,482,5,121,0,85,0,648,0,153,0,89,0,1,0,0,0,1874,544,558,2728,570,554
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,471,5,124,0,85,0,648,0,145,0,82,0,1,0,0,0,1885,541,558,2728,578,561
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,471,5,120,0,83,0,686,0,126,0,77,0,1,0,0,0,1885,545,560,2690,597,566
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,497,5,134,0,86,0,657,0,140,0,93,0,0,0,0,0,1859,531,557,2719,583,550
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,469,5,138,0,72,0,688,0,157,0,79,0,0,0,0,0,1887,527,571,2688,566,564
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,451,5,125,0,75,0,669,0,165,0,85,0,0,0,0,0,1905,540,568,2707,558,558
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,494,5,133,0,101,0,715,0,144,0,91,0,0,0,0,0,1862,532,542,2661,579,552
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,502,5,123,0,86,0,677,0,150,0,77,0,1,0,0,0,1854,542,557,2699,573,566
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,455,5,152,0,93,0,690,0,132,0,90,0,0,0,0,0,1901,513,550,2686,591,553
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,447,5,113,0,75,0,690,0,129,0,93,0,0,0,0,0,1909,552,568,2686,594,550
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,497,5,155,0,80,0,670,0,137,0,82,0,0,0,0,0,1859,510,563,2706,586,561
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,497,5,123,0,91,0,617,0,147,0,92,0,0,0,0,0,1859,542,552,2759,576,551
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,477,5,128,0,78,0,648,0,137,0,86,0,0,0,0,0,1879,537,565,2728,586,557
