sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2148,21,370,0,168,0,2003,0,436,0,158,0,2,0,0,0,208,295,475,1373,287,485
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2089,21,402,0,160,0,2016,0,455,0,129,0,2,0,0,0,267,263,483,1360,268,514
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2106,21,408,0,157,0,1989,0,429,0,178,0,2,0,0,0,250,257,486,1387,294,465
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2122,21,389,0,158,0,1979,0,445,0,142,0,2,0,0,0,234,276,485,1397,278,501
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2119,21,395,0,178,0,2007,0,414,0,164,0,1,0,0,0,237,270,465,1369,309,479
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2114,21,417,0,122,0,2003,0,429,0,160,0,2,0,0,0,242,248,521,1373,294,483
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2135,21,414,0,155,0,2049,0,457,0,133,0,2,0,0,0,221,251,488,1327,266,510
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2127,21,369,0,143,0,2047,0,433,0,154,0,2,0,0,0,229,296,500,1329,290,489
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2126,21,393,0,149,0,2000,0,453,0,163,0,2,0,0,0,230,272,494,1376,270,480
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2136,21,403,0,144,0,2021,0,447,0,150,0,2,0,0,0,220,262,499,1355,276,493
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2118,21,400,0,156,0,2009,0,423,0,170,0,2,0,0,0,238,265,487,1367,300,473
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2110,21,421,0,159,0,2046,0,429,0,153,0,2,0,0,0,246,244,484,1330,294,490
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2127,21,395,0,164,0,2027,0,453,0,168,0,1,0,0,0,229,270,479,1349,270,475
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2135,21,404,0,148,0,2024,0,459,0,161,0,1,0,0,0,221,261,495,1352,264,482
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2140,21,401,0,172,0,2023,0,442,0,160,0,2,0,0,0,216,264,471,1353,281,483
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2138,21,405,0,166,0,1982,0,438,0,155,0,2,0,0,0,218,260,477,1394,285,488
