sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,110,1,43,0,22,0,133,0,25,0,33,0,4,0,0,0,430,101,179,620,116,170
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,112,1,28,0,21,0,156,0,29,0,28,0,5,0,0,0,428,116,180,597,112,175
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,93,1,31,0,19,0,156,0,43,0,16,0,2,0,0,0,447,113,182,597,98,187
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,113,1,25,0,27,0,142,0,29,0,33,0,1,0,0,0,427,119,174,611,112,170
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,99,1,22,0,29,0,153,0,31,0,27,0,3,0,0,0,441,122,172,600,110,176
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,110,1,33,0,26,0,136,0,26,0,25,0,0,0,0,0,430,111,175,617,115,178
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,110,1,34,0,25,0,146,0,19,0,29,0,3,0,0,0,430,110,176,607,122,174
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,111,1,24,0,25,0,175,0,30,0,27,0,4,0,0,0,429,120,176,578,111,176
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,107,1,26,0,31,0,158,0,24,0,20,0,2,0,0,0,433,118,170,595,117,183
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,106,1,31,0,31,0,146,0,34,0,22,0,0,0,0,0,434,113,170,607,107,181
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,107,1,21,0,31,0,135,0,12,0,29,0,4,0,0,0,433,123,170,618,129,174
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,122,1,28,0,26,0,151,0,37,0,19,0,6,0,0,0,418,116,175,602,104,184
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,117,1,29,0,25,0,155,0,28,0,24,0,2,0,0,0,423,115,176,598,113,179
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,112,1,26,0,24,0,145,0,23,0,30,0,1,0,0,0,428,118,177,608,118,173
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,95,1,28,0,29,0,138,0,28,0,25,0,1,0,0,0,445,116,172,615,113,178
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,107,1,28,0,33,0,156,0,31,0,28,0,3,0,0,0,433,116,168,597,110,175
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,112,1,26,0,25,0,180,0,35,0,30,0,3,0,0,0,428,118,176,573,106,173
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,94,1,29,0,29,0,167,0,29,0,26,0,5,0,0,0,446,115,172,586,112,177
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,91,1,26,0,21,0,130,0,19,0,25,0,0,0,0,0,449,118,180,623,122,178
