sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,388,4,64,0,27,0,392,0,65,0,35,0,8,1,1,0.25,152,80,174,361,76,168
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,359,4,74,0,22,0,381,0,76,0,24,0,9,0,0,0,181,70,179,372,65,179
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,361,4,67,0,26,0,362,0,66,0,35,0,8,0,0,0,179,77,175,391,75,168
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,374,4,77,0,20,0,373,0,64,0,27,0,8,0,0,0,166,67,181,380,77,176
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,390,4,77,0,21,0,349,0,71,0,35,0,7,1,1,0.25,150,67,180,404,70,168
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,378,4,73,0,22,0,357,0,73,0,24,0,9,0,0,0,162,71,179,396,68,179
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,367,4,69,0,26,0,366,0,79,0,24,0,7,0,0,0,173,75,175,387,62,179
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,392,4,68,0,26,0,371,0,66,0,19,0,6,0,0,0,148,76,175,382,75,184
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,389,4,67,0,20,0,371,0,77,0,15,0,8,0,0,0,151,77,181,382,64,188
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,362,4,66,0,27,0,381,0,65,0,28,0,8,0,0,0,178,78,174,372,76,175
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,367,4,74,0,25,0,379,0,69,0,28,0,8,0,0,0,173,70,176,374,72,175
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,378,4,70,0,22,0,344,0,69,0,31,0,6,0,0,0,162,74,179,409,72,172
